data,dateTime,controller,version,id,device.id,diagnostic.id
12.285555,2020-03-10 06:26:21+00:00,ControllerNoneId,0000000000058185,ad6MQfQ_F2rZhHjvrZb9zAA,b4,DiagnosticGoDeviceVoltageId
1.0,2020-03-10 06:28:44.063000+00:00,ControllerNoneId,0000000000058186,ad6MQfQ_F2rZhHjvrZb9zAQ,b4,DiagnosticIgnitionId
1.0,2020-03-10 06:28:44.097000+00:00,ControllerNoneId,0000000000058187,ad6MQfQ_F2rZhHjvrZb9zAg,b4,DiagnosticVehicleActiveId
13.645111,2020-03-10 06:29:41.597000+00:00,ControllerNoneId,0000000000058188,ad6MQfQ_F2rZhHjvrZb9zAw,b4,DiagnosticGoDeviceVoltageId
14.575334,2020-03-10 06:29:51.597000+00:00,ControllerNoneId,0000000000058189,ad6MQfQ_F2rZhHjvrZb9zBA,b4,DiagnosticGoDeviceVoltageId
1.0,2020-03-10 06:30:49+00:00,ControllerNoneId,000000000005818a,a9yZRbwoQA3u4qcDHbTt7AA,b4,DiagnosticPositionValidAtDeviceId
1.0,2020-03-10 06:31:26.147000+00:00,ControllerNoneId,000000000005818b,a9yZRbwoQA3u4qcDHbTt7AQ,b4,DiagnosticStandardHarnessDetectedId
0.0,2020-03-10 06:31:27.047000+00:00,ControllerNoneId,000000000005818c,a9yZRbwoQA3u4qcDHbTt7Ag,b4,aLLFcKEg5sEiugRoQQhZVVg
1.4000000000000001,2020-03-10 06:32:27+00:00,ControllerNoneId,000000000005819d,ak4oa1QBUBd9UviX8BYmhAA,b4,aLLFcKEg5sEiugRoQQhZVVg
1.0,2020-03-10 06:32:54.377000+00:00,ControllerNoneId,000000000005818d,aPor5rVZpHXtSm-RbahDZAA,b4,DiagnosticHybridVehicleDetectedId
1.0,2020-03-10 06:33:06.333000+00:00,ControllerNoneId,000000000005818e,aPor5rVZpHXtSm-RbahDZAQ,b4,aqQtXD0-yQkCeNspDwDF8cA
1.0,2020-03-10 06:33:06.333000+00:00,ControllerNoneId,000000000005818f,aPor5rVZpHXtSm-RbahDZAg,b4,DiagnosticStandardHarnessDetectedId
255.0,2020-03-10 06:33:06.333000+00:00,ControllerNoneId,0000000000058190,aPor5rVZpHXtSm-RbahDZAw,b4,aGmhIvzOA1EOesI-0xegi8w
374.0,2020-03-10 06:33:07.407000+00:00,ControllerNoneId,0000000000058191,aPor5rVZpHXtSm-RbahDZBA,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
25.560000000000002,2020-03-10 06:33:07.477000+00:00,ControllerNoneId,0000000000058192,aPor5rVZpHXtSm-RbahDZBQ,b4,DiagnosticElectricEnergyInId
-47498.0,2020-03-10 06:33:07.477000+00:00,ControllerNoneId,0000000000058193,aPor5rVZpHXtSm-RbahDZBg,b4,DiagnosticElectricVehicleBatteryPowerId
148.34,2020-03-10 06:33:07.477000+00:00,ControllerNoneId,0000000000058194,aPor5rVZpHXtSm-RbahDZBw,b4,DiagnosticElectricEnergyOutId
13518.0,2020-03-10 06:33:10.430000+00:00,ControllerNoneId,0000000000058195,aPor5rVZpHXtSm-RbahDZCA,b4,DiagnosticElectricVehicleBatteryPowerId
345.5,2020-03-10 06:33:20.413000+00:00,ControllerNoneId,0000000000058196,aPor5rVZpHXtSm-RbahDZCQ,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
61844.0,2020-03-10 06:33:20.460000+00:00,ControllerNoneId,0000000000058197,aPor5rVZpHXtSm-RbahDZCg,b4,DiagnosticElectricVehicleBatteryPowerId
362.0,2020-03-10 06:33:24.360000+00:00,ControllerNoneId,0000000000058198,aPor5rVZpHXtSm-RbahDZCw,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
-9438.0,2020-03-10 06:33:25.357000+00:00,ControllerNoneId,000000000005819e,ak4oa1QBUBd9UviX8BYmhAQ,b4,DiagnosticElectricVehicleBatteryPowerId
66.22,2020-03-10 06:33:26.310000+00:00,ControllerNoneId,0000000000058199,aPor5rVZpHXtSm-RbahDZDA,b4,DiagnosticStateOfChargeId
1.0,2020-03-10 06:33:32.127000+00:00,ControllerNoneId,000000000005819a,aPor5rVZpHXtSm-RbahDZDQ,b4,aqQtXD0-yQkCeNspDwDF8cA
1.0,2020-03-10 06:33:32.127000+00:00,ControllerNoneId,000000000005819b,aPor5rVZpHXtSm-RbahDZDg,b4,DiagnosticStandardHarnessDetectedId
369.0,2020-03-10 06:33:32.397000+00:00,ControllerNoneId,000000000005819c,aWfOT9gPXgjmUSs1btsJRAA,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
0.0,2020-03-10 06:33:33.003000+00:00,ControllerNoneId,000000000005819f,ak4oa1QBUBd9UviX8BYmhAg,b4,aLLFcKEg5sEiugRoQQhZVVg
-1.6300000000000001,2020-03-10 06:33:34.023000+00:00,ControllerNoneId,00000000000581a0,ak4oa1QBUBd9UviX8BYmhAw,b4,aLLFcKEg5sEiugRoQQhZVVg
348.5,2020-03-10 06:33:38.337000+00:00,ControllerNoneId,00000000000581a1,ak4oa1QBUBd9UviX8BYmhBA,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
53146.0,2020-03-10 06:33:38.387000+00:00,ControllerNoneId,00000000000581a2,ak4oa1QBUBd9UviX8BYmhBQ,b4,DiagnosticElectricVehicleBatteryPowerId
25169.0,2020-03-10 06:33:41.383000+00:00,ControllerNoneId,00000000000581a3,ak4oa1QBUBd9UviX8BYmhBg,b4,DiagnosticElectricVehicleBatteryPowerId
351.5,2020-03-10 06:33:45.273000+00:00,ControllerNoneId,00000000000581a4,ak4oa1QBUBd9UviX8BYmhBw,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
1.1300000000000001,2020-03-10 06:33:46.023000+00:00,ControllerNoneId,00000000000581a5,ak4oa1QBUBd9UviX8BYmhCA,b4,aLLFcKEg5sEiugRoQQhZVVg
12138.0,2020-03-10 06:33:57.307000+00:00,ControllerNoneId,00000000000581a6,ak4oa1QBUBd9UviX8BYmhCQ,b4,DiagnosticElectricVehicleBatteryPowerId
21979.0,2020-03-10 06:33:58.307000+00:00,ControllerNoneId,00000000000581a7,ak4oa1QBUBd9UviX8BYmhCg,b4,DiagnosticElectricVehicleBatteryPowerId
9598.0,2020-03-10 06:33:59.353000+00:00,ControllerNoneId,00000000000581a8,ak4oa1QBUBd9UviX8BYmhCw,b4,DiagnosticElectricVehicleBatteryPowerId
30096.0,2020-03-10 06:34:01.300000+00:00,ControllerNoneId,00000000000581a9,ak4oa1QBUBd9UviX8BYmhDA,b4,DiagnosticElectricVehicleBatteryPowerId
-10527.0,2020-03-10 06:34:13.280000+00:00,ControllerNoneId,00000000000581aa,abMvM2zpbWF-YshE-HNHWAA,b4,DiagnosticElectricVehicleBatteryPowerId
30315.0,2020-03-10 06:34:16.273000+00:00,ControllerNoneId,00000000000581ab,abMvM2zpbWF-YshE-HNHWAQ,b4,DiagnosticElectricVehicleBatteryPowerId
-53553.0,2020-03-10 06:34:22.267000+00:00,ControllerNoneId,00000000000581ac,abMvM2zpbWF-YshE-HNHWAg,b4,DiagnosticElectricVehicleBatteryPowerId
24242.0,2020-03-10 06:34:24.263000+00:00,ControllerNoneId,00000000000581ae,aoE8f-DaRFOzUpibkHQnWAA,b4,DiagnosticElectricVehicleBatteryPowerId
343.5,2020-03-10 06:34:29.253000+00:00,ControllerNoneId,00000000000581ad,abMvM2zpbWF-YshE-HNHWAw,b4,a4kUpYGyQ4E2uoQTp-ed0Ow
71269.0,2020-03-10 06:34:30.253000+00:00,ControllerNoneId,00000000000581af,aoE8f-DaRFOzUpibkHQnWAQ,b4,DiagnosticElectricVehicleBatteryPowerId
-10425.0,2020-03-10 06:34:37.207000+00:00,ControllerNoneId,00000000000581b0,aoE8f-DaRFOzUpibkHQnWAg,b4,DiagnosticElectricVehicleBatteryPowerId
41119.0,2020-03-10 06:34:38.290000+00:00,ControllerNoneId,00000000000581b1,aoE8f-DaRFOzUpibkHQnWAw,b4,DiagnosticElectricVehicleBatteryPowerId
13.609332,2020-03-10 06:34:41.597000+00:00,ControllerNoneId,00000000000581b2,aoE8f-DaRFOzUpibkHQnWBA,b4,DiagnosticGoDeviceVoltageId
1.0,2020-03-10 06:34:42.003000+00:00,ControllerNoneId,00000000000581b3,aoE8f-DaRFOzUpibkHQnWBQ,b4,aqQtXD0-yQkCeNspDwDF8cA
1.0,2020-03-10 06:34:42.003000+00:00,ControllerNoneId,00000000000581b4,aoE8f-DaRFOzUpibkHQnWBg,b4,DiagnosticStandardHarnessDetectedId
64.755,2020-03-10 06:34:46.177000+00:00,ControllerNoneId,00000000000581b5,aoE8f-DaRFOzUpibkHQnWBw,b4,DiagnosticStateOfChargeId
-12240.0,2020-03-10 06:34:50.270000+00:00,ControllerNoneId,00000000000581b6,aoE8f-DaRFOzUpibkHQnWCA,b4,DiagnosticElectricVehicleBatteryPowerId
